Measure,PID,use,valdays,valwkdays,valwkend,allMeanWakeWear,allMeanSleepNW,allmean_mv_EV,allmean_cntmv_EV,allmean_v_EV,allmean_cntv_EV,allmean_m_EV,allmean_cntm_EV,allmean_l_EV,allmean_cntl_EV,allmean_s_EV,allmean_cnts_EV,allMeanActCounts,allMeanIntenPerMin,WKDAYMeanWakeWear,WKDAYMeanSleepNW,WKDAYmean_mv_EV,WKDAYmean_cntmv_EV,WKDAYmean_v_EV,WKDAYmean_cntv_EV,WKDAYmean_m_EV,WKDAYmean_cntm_EV,WKDAYmean_l_EV,WKDAYmean_cntl_EV,WKDAYmean_s_EV,WKDAYmean_cnts_EV,WKDAYMeanActCounts,WKDAYMeanIntenPerMin,WKENDMeanWakeWear,WKENDMeanSleepNW,WKENDmean_mv_EV,WKENDmean_cntmv_EV,WKENDmean_v_EV,WKENDmean_cntv_EV,WKENDmean_m_EV,WKENDmean_cntm_EV,WKENDmean_l_EV,WKENDmean_cntl_EV,WKENDmean_s_EV,WKENDmean_cnts_EV,WKENDMeanActCounts,WKENDMeanIntenPerMin,SUNMeanWakeWear,SUNMeanSleepNW,SUNmean_mv_EV,SUNmean_cntmv_EV,SUNmean_v_EV,SUNmean_cntv_EV,SUNmean_m_EV,SUNmean_cntm_EV,SUNmean_l_EV,SUNmean_cntl_EV,SUNmean_s_EV,SUNmean_cnts_EV,SUNMeanActCounts,SUNMeanIntenPerMin
1,1101,A,7,5,2,882.1428571,557.8571429,57.32142857,187841.7143,8.785714286,44163.28571,48.53571429,143678.4286,297.7857143,225104.7143,527.0357143,3973.142857,416919.5714,472.6213765,897,543,65.2,212251,9.25,46945.8,55.95,165305.2,291.55,223089.8,540.25,4075.8,439416.6,489.8735786,845,595,37.625,126818.5,7.625,37207,30,89611.5,313.375,230142,494,3716.5,360677,426.8366864,818,622,49.25,168181,10.5,52696,38.75,115485,277,215236,491.75,3191,386608,472.6259169
1,1102,A,7,5,2,967.5714286,472.4285714,111.6071429,417812.7143,36.67857143,189612.7143,74.92857143,228200,353.4642857,295096,502.5,4786,717694.7143,741.7485605,1004.4,435.6,108.7,413205.8,36.9,193280.4,71.8,219925.4,345.45,279023,550.25,5063.8,697292.6,694.237953,875.5,564.5,118.875,429330,36.125,180443.5,82.75,248886.5,373.5,335278.5,383.125,4091.5,768700,878.0125642,897,543,104.5,369034,27.75,136696,76.75,232338,392,336915,400.5,4857,710806,792.425864
1,1103,A,7,5,2,957.8571429,482.1428571,87.60714286,313879.5714,23.14285714,121582.8571,64.46428571,192296.7143,333.1428571,260891.1429,537.1071429,5084.571429,579855.2857,605.3671887,989.6,450.4,83.9,297250.2,22.4,113005.4,61.5,184244.8,337.8,259863.8,567.9,5500.8,562614.8,568.5274859,878.5,561.5,96.875,355453,25,143026.5,71.875,212426.5,321.5,263459.5,460.125,4044,622956.5,709.1138304,820,620,65,251167,16.5,108160,48.5,143007,293,217997,462,3968,473132,576.9902439
1,1104,A,7,5,2,924.7142857,515.2857143,113.4285714,419588.1429,36.67857143,185450.5714,76.75,234137.5714,324.8928571,257964.7143,486.3928571,4638.142857,682191,737.7316546,954.4,485.6,119.8,444313,39.25,198555.6,80.55,245757.4,342.95,273785.8,491.65,4861.4,722960.2,757.5023051,850.5,589.5,97.5,357776,30.25,152688,67.25,205088,279.75,218412,473.25,4080,580268,682.2669018,861,579,106,406230,37.5,195296,68.5,210934,298.25,229386,456.75,4452,640068,743.4006969
1,1105,A,5,4,1,890.4,549.6,46.75,163267.4,11,57049.2,35.75,106218.2,296.9,220813,546.75,4916.4,388996.8,436.8787062,888.5,551.5,46.3125,164676,11.75,61583.25,34.5625,103092.75,275.3125,200110.5,566.875,4871.5,369658,416.0472707,898,542,48.5,157633,8,38913,40.5,118720,383.25,303623,466.25,5096,466352,519.3229399,898,542,48.5,157633,8,38913,40.5,118720,383.25,303623,466.25,5096,466352,519.3229399
1,1106,A,7,5,2,947.2857143,492.7142857,77.60714286,278333.1429,20.82142857,107440,56.78571429,170893.1429,386.9642857,292445.5714,482.7142857,5517.571429,576296.2857,608.3658573,990.8,449.2,90.7,323983.8,24.15,123401,66.55,200582.8,417.3,320010.8,482.8,5944,649938.6,655.9735567,838.5,601.5,44.875,164206.5,12.5,67537.5,32.375,96669,311.125,223532.5,482.5,4451.5,392190.5,467.7286822,819,621,13.5,42159,1.75,8892,11.75,33267,286.75,177973,518.75,4937,225069,274.8095238
1,1107,A,7,5,2,907.2857143,532.7142857,51.03571429,185686.5714,13.28571429,72587.85714,37.75,113098.7143,304.7142857,215887.5714,551.5357143,5856.714286,407430.8571,449.065659,923.8,516.2,37.45,125034.4,7.25,35035.8,30.2,89998.6,314.55,214031.2,571.8,6345.6,345411.2,373.9025763,866,574,85,337317,28.375,166468,56.625,170849,280.125,220528.5,500.875,4634.5,562480,649.5150115,838,602,126.25,504787,38.25,240563,88,264224,298.75,250523,413,4978,760288,907.2649165
1,1108,A,6,4,2,875.3333333,564.6666667,33.70833333,107280.6667,4.625,23046.33333,29.08333333,84234.33333,301.7916667,214183.5,539.8333333,4896.833333,326361,372.841965,945.5,494.5,41.75,134792.75,6.3125,31218,35.4375,103574.75,341.6875,247342.25,562.0625,5163,387298,409.622422,735,705,17.625,52256.5,1.25,6703,16.375,45553.5,222,147866,495.375,4364.5,204487,278.2136054,793,647,15.75,45705,0.75,3959,15,41746,223.25,152345,554,4096,202146,254.9129887
1,1109,A,7,5,2,908.5714286,531.4285714,39.46428571,134270.8571,8.071428571,42973.57143,31.39285714,91297.28571,313.5357143,234988.2857,555.5714286,4667.428571,373926.5714,411.5544025,913.8,526.2,46.15,159955.4,10.25,55064.2,35.9,104891.2,304.55,235790,563.1,4516,400261.4,438.0186036,895.5,544.5,22.75,70059.5,2.625,12747,20.125,57312.5,336,232984,536.75,5046,308089.5,344.041876,827,613,30,93448,3.5,16196,26.5,77252,401.5,279103,395.5,6528,379079,458.3784764
1,1110,A,3,2,1,763.6666667,676.3333333,43.66666667,142562.6667,7.25,34857,36.41666667,107705.6667,261.3333333,191694.3333,458.6666667,4484.666667,338741.6667,443.5726757,834,606,48.5,160991,9.25,44665,39.25,116326,271.875,203996.5,513.625,4765.5,369753,443.3489209,623,817,34,105706,3.25,15241,30.75,90465,240.25,167090,348.75,3923,276719,444.1717496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
